"","team_name","correlation","loyalty_type"
"1","76ers",0.560262483729173,"Performance-Sensitive"
"2","Bucks",0.340789545039865,"Moderately Loyal"
"3","Bulls",0.482565743136631,"Moderately Loyal"
"4","Cavaliers",0.604342590296888,"Performance-Sensitive"
"5","Celtics",0.40618893159886,"Moderately Loyal"
"6","Clippers",0.62758451877525,"Performance-Sensitive"
"7","Grizzlies",0.388379103766736,"Moderately Loyal"
"8","Hawks",0.125976013509572,"Very Loyal"
"9","Heat",0.352128999226401,"Moderately Loyal"
"10","Hornets",0.0505509818693771,"Very Loyal"
"11","Jazz",-0.101738609321366,"Very Loyal"
"12","Kings",0.533695681776992,"Performance-Sensitive"
"13","Knicks",-0.167969224439905,"Very Loyal"
"14","Lakers",0.101767625286507,"Very Loyal"
"15","Magic",0.428776556476871,"Moderately Loyal"
"16","Mavericks",0.130438191016197,"Very Loyal"
"17","Nets",-0.325030613514093,"Very Loyal"
"18","Nuggets",0.438652499633945,"Moderately Loyal"
"19","Pacers",0.487256292246373,"Moderately Loyal"
"20","Pelicans",0.142907739245122,"Very Loyal"
"21","Pistons",0.534717197360413,"Performance-Sensitive"
"22","Raptors",0.652373105473067,"Performance-Sensitive"
"23","Rockets",0.597477076224437,"Performance-Sensitive"
"24","Spurs",0.49084984839291,"Moderately Loyal"
"25","Suns",0.0340276347195127,"Very Loyal"
"26","Thunder",0.421082670306235,"Moderately Loyal"
"27","Timberwolves",0.576363465145748,"Performance-Sensitive"
"28","Trail Blazers",0.586346657479525,"Performance-Sensitive"
"29","Warriors",0.436366887521883,"Moderately Loyal"
"30","Wizards",0.103298730164608,"Very Loyal"
