"","team_name","year","mean_attendance","wins","losses","total_games","win_pct"
"1","Spurs",2001,22.6136842105263,30,8,38,0.789473684210526
"2","Bulls",2007,22.1892777777778,20,16,36,0.555555555555556
"3","Bulls",2012,22.1833703703704,21,6,27,0.777777777777778
"4","Pistons",2005,22.076,33,3,36,0.916666666666667
"5","Pistons",2006,22.076,30,8,38,0.789473684210526
"6","Pistons",2007,22.076,29,10,39,0.743589743589744
"7","Pistons",2008,22.076,31,9,40,0.775
"8","Bulls",2011,21.9958,23,2,25,0.92
"9","Bulls",2000,21.9443658536585,12,29,41,0.292682926829268
"10","Pistons",2004,21.9036764705882,25,9,34,0.735294117647059
"11","Bulls",2014,21.8292195121951,28,13,41,0.682926829268293
"12","Bulls",2016,21.8281470588235,18,16,34,0.529411764705882
"13","Bulls",2008,21.7674594594595,21,16,37,0.567567567567568
"14","Bulls",2015,21.7565,29,11,40,0.725
"15","Bulls",2013,21.725,7,6,13,0.538461538461538
"16","Spurs",2000,21.555027027027,29,8,37,0.783783783783784
"17","Bulls",2006,21.493375,27,13,40,0.675
"18","Bulls",2017,21.2420256410256,22,17,39,0.564102564102564
"19","Bulls",2005,21.0936060606061,23,10,33,0.696969696969697
"20","Bulls",2010,20.9893846153846,25,14,39,0.641025641025641
"21","Bulls",2009,20.9720540540541,26,11,37,0.702702702702703
"22","Pistons",2003,20.8646756756757,25,12,37,0.675675675675676
"23","Bulls",2023,20.8219047619048,13,8,21,0.619047619047619
"24","76ers",2023,20.783619047619,14,7,21,0.666666666666667
"25","76ers",2020,20.7074615384615,17,2,19,0.894736842105263
"26","Pistons",2009,20.6327027027027,15,22,37,0.405405405405405
"27","Bulls",2001,20.5799210526316,11,27,38,0.289473684210526
"28","Cavaliers",2009,20.562,34,4,38,0.894736842105263
"29","Cavaliers",2010,20.562,25,14,39,0.641025641025641
"30","Cavaliers",2015,20.562,27,4,31,0.870967741935484
"31","Cavaliers",2016,20.562,34,8,42,0.80952380952381
"32","Cavaliers",2017,20.562,25,11,36,0.694444444444444
"33","Trail Blazers",2011,20.5482142857143,22,6,28,0.785714285714286
"34","76ers",2019,20.5414473684211,30,8,38,0.789473684210526
"35","76ers",2022,20.5164523809524,28,14,42,0.666666666666667
"36","Bulls",2018,20.5139268292683,13,28,41,0.317073170731707
"37","Bulls",2022,20.50615,22,18,40,0.55
"38","Cavaliers",2008,20.5014166666667,29,7,36,0.805555555555556
"39","Wizards",2002,20.497972972973,23,14,37,0.621621621621622
"40","Trail Blazers",2009,20.497282051282,31,8,39,0.794871794871795
"41","Trail Blazers",2012,20.494,17,10,27,0.62962962962963
"42","Trail Blazers",2010,20.4879411764706,22,12,34,0.647058823529412
"43","76ers",2018,20.462825,35,5,40,0.875
"44","Cavaliers",2007,20.38078125,20,12,32,0.625
"45","Mavericks",2012,20.3615925925926,20,7,27,0.740740740740741
"46","Trail Blazers",2008,20.34878125,21,11,32,0.65625
"47","Mavericks",2007,20.3273,35,5,40,0.875
"48","Trail Blazers",2000,20.3141891891892,26,11,37,0.702702702702703
"49","Spurs",2002,20.2780967741935,25,6,31,0.806451612903226
"50","Mavericks",2011,20.2639545454545,14,8,22,0.636363636363636
"51","Mavericks",2015,20.2254117647059,21,13,34,0.61764705882353
"52","76ers",2001,20.212325,26,14,40,0.65
"53","Mavericks",2023,20.2074285714286,8,13,21,0.380952380952381
"54","Mavericks",2008,20.2061666666667,23,7,30,0.766666666666667
"55","Mavericks",2006,20.2047027027027,31,6,37,0.837837837837838
"56","Mavericks",2020,20.2025294117647,10,11,21,0.476190476190476
"57","Mavericks",2005,20.1753513513513,27,10,37,0.72972972972973
"58","Mavericks",2004,20.1214102564103,31,8,39,0.794871794871795
"59","Cavaliers",2018,20.0733513513513,19,18,37,0.513513513513513
"60","Mavericks",2019,20.0568055555556,17,19,36,0.472222222222222
"61","Mavericks",2014,20.0481666666667,28,14,42,0.666666666666667
"62","Cavaliers",2006,20.0200857142857,27,8,35,0.771428571428571
"63","Bulls",2003,20.0067272727273,17,16,33,0.515151515151515
"64","Mavericks",2009,19.9960555555556,29,7,36,0.805555555555556
"65","76ers",2002,19.9831621621622,24,13,37,0.648648648648649
"66","Mavericks",2016,19.9754615384615,17,22,39,0.435897435897436
"67","Heat",2005,19.9736923076923,33,6,39,0.846153846153846
"68","Mavericks",2010,19.9727317073171,28,13,41,0.682926829268293
"69","Mavericks",2022,19.970880952381,35,7,42,0.833333333333333
"70","Mavericks",2002,19.9640571428571,27,8,35,0.771428571428571
"71","Mavericks",2003,19.9358717948718,32,7,39,0.82051282051282
"72","Heat",2012,19.9292666666667,25,5,30,0.833333333333333
"73","Jazz",2008,19.9034634146341,36,5,41,0.878048780487805
"74","Jazz",2007,19.8974166666667,27,9,36,0.75
"75","Heat",2006,19.8927105263158,26,12,38,0.68421052631579
"76","Trail Blazers",2001,19.8823421052632,24,14,38,0.631578947368421
"77","Cavaliers",2011,19.8813846153846,7,19,26,0.269230769230769
"78","Mavericks",2013,19.8540714285714,10,4,14,0.714285714285714
"79","Raptors",2018,19.850475,30,10,40,0.75
"80","Heat",2011,19.8475909090909,17,5,22,0.772727272727273
"81","Raptors",2016,19.8320512820513,31,8,39,0.794871794871795
"82","Raptors",2015,19.8287297297297,22,15,37,0.594594594594595
"83","Mavericks",2018,19.8259210526316,22,16,38,0.578947368421053
"84","Raptors",2020,19.8160833333333,12,5,17,0.705882352941177
"85","Mavericks",2017,19.8145609756098,20,21,41,0.48780487804878
"86","Knicks",2013,19.812,4,11,15,0.266666666666667
"87","Knicks",2014,19.812,17,21,38,0.447368421052632
"88","Knicks",2015,19.812,14,24,38,0.368421052631579
"89","Knicks",2016,19.812,17,20,37,0.45945945945946
"90","Raptors",2017,19.8,26,7,33,0.787878787878788
"91","76ers",2003,19.783282051282,19,20,39,0.487179487179487
"92","Raptors",2019,19.7813513513514,28,10,38,0.736842105263158
"93","Raptors",2023,19.7755,16,6,22,0.727272727272727
"94","Knicks",2000,19.763,30,10,40,0.75
"95","Knicks",2001,19.763,30,11,41,0.731707317073171
"96","Knicks",2011,19.763,15,10,25,0.6
"97","Knicks",2012,19.763,18,11,29,0.620689655172414
"98","Heat",2014,19.7527948717949,20,19,39,0.512820512820513
"99","Trail Blazers",2014,19.7357435897436,30,9,39,0.769230769230769
"100","Heat",2013,19.7311333333333,13,2,15,0.866666666666667
"101","Heat",2015,19.7297647058824,22,12,34,0.647058823529412
"102","Heat",2016,19.7234285714286,20,15,35,0.571428571428571
"103","Heat",2023,19.6973,15,5,20,0.75
"104","Heat",2007,19.6906176470588,20,14,34,0.588235294117647
"105","Heat",2020,19.684,15,5,20,0.75
"106","Jazz",2011,19.6742272727273,9,13,22,0.409090909090909
"107","Bulls",2004,19.6718064516129,13,18,31,0.419354838709677
"108","Heat",2019,19.6654722222222,25,11,36,0.694444444444444
"109","Trail Blazers",2019,19.6596857142857,23,12,35,0.657142857142857
"110","Heat",2022,19.6593157894737,25,13,38,0.657894736842105
"111","Raptors",2002,19.6581315789474,17,21,38,0.447368421052632
"112","Heat",2018,19.6397692307692,24,15,39,0.615384615384615
"113","Heat",2017,19.63225,23,13,36,0.638888888888889
"114","Heat",2021,19.6093571428571,28,15,43,0.651162790697674
"115","Warriors",2013,19.596,8,3,11,0.727272727272727
"116","Warriors",2014,19.596,27,10,37,0.72972972972973
"117","Warriors",2015,19.596,41,1,42,0.976190476190476
"118","Warriors",2016,19.596,34,3,37,0.918918918918919
"119","Warriors",2017,19.596,33,8,41,0.804878048780488
"120","Warriors",2018,19.596,28,12,40,0.7
"121","Trail Blazers",2020,19.5667692307692,12,6,18,0.666666666666667
"122","Trail Blazers",2015,19.5468571428571,23,12,35,0.657142857142857
"123","Jazz",2010,19.5279714285714,25,10,35,0.714285714285714
"124","Knicks",2017,19.5270476190476,21,21,42,0.5
"125","Knicks",2010,19.5241111111111,17,19,36,0.472222222222222
"126","Raptors",2001,19.4984411764706,23,11,34,0.676470588235294
"127","Bulls",2019,19.4842432432432,11,26,37,0.297297297297297
"128","Knicks",2004,19.4794736842105,24,14,38,0.631578947368421
"129","Trail Blazers",2013,19.478,12,3,15,0.8
"130","Jazz",2009,19.4759512195122,33,8,41,0.804878048780488
"131","Jazz",2004,19.4677878787879,20,13,33,0.606060606060606
