"","team","gp","w","l","season","mean_attendance","win_percent"
"1","Detroit Shock",32,14,18,2000,6715.5625,0.4375
"2","Utah Starzz",32,18,14,2000,6465.125,0.5625
"3","Los Angeles Sparks",32,28,4,2000,7150,0.875
"4","Portland Fire",32,10,22,2000,8317.25,0.3125
"5","Sacramento Monarchs",32,21,11,2000,7940.23529411765,0.65625
"6","Minnesota Lynx",32,15,17,2000,7289.875,0.46875
"7","Indiana Fever",32,9,23,2000,11266.875,0.28125
"8","Charlotte Sting",32,8,24,2000,5685.1875,0.25
"9","Houston Comets",32,27,5,2000,12597,0.84375
"10","Washington Mystics",32,14,18,2000,15321.4705882353,0.4375
"11","Orlando Miracle",32,16,16,2000,7298.52941176471,0.5
"12","Phoenix Mercury",32,20,12,2000,9896.82352941176,0.625
"13","Cleveland Rockers",32,17,15,2000,8868.47368421053,0.53125
"14","New York Liberty",32,20,12,2000,14893.6,0.625
"15","Seattle Storm",32,6,26,2000,8912.125,0.1875
"16","Miami Sol",32,13,19,2000,7982.5625,0.40625
"17","Los Angeles Sparks",32,28,4,2001,9473.15,0.875
"18","Sacramento Monarchs",32,20,12,2001,8299.94444444445,0.625
"19","Phoenix Mercury",32,13,19,2001,8561.375,0.40625
"20","Orlando Miracle",32,13,19,2001,7429.625,0.40625
"21","Portland Fire",32,11,21,2001,8603.5,0.34375
"22","Utah Starzz",32,19,13,2001,7051.11764705882,0.59375
"23","Minnesota Lynx",32,12,20,2001,7537.9375,0.375
"24","Indiana Fever",32,10,22,2001,8682.625,0.3125
"25","Detroit Shock",32,10,22,2001,6834.25,0.3125
"26","Washington Mystics",32,10,22,2001,15416.6875,0.3125
"27","New York Liberty",32,21,11,2001,15587.7,0.65625
"28","Houston Comets",32,19,13,2001,11227.7058823529,0.59375
"29","Seattle Storm",32,10,22,2001,5953.5625,0.3125
"30","Charlotte Sting",32,18,14,2001,7950.15789473684,0.5625
"31","Miami Sol",32,20,12,2001,8861.88235294118,0.625
"32","Cleveland Rockers",32,22,10,2001,9478.27777777778,0.6875
"33","Utah Starzz",32,20,12,2002,7790.88888888889,0.625
"34","Los Angeles Sparks",32,25,7,2002,11485.7368421053,0.78125
"35","Detroit Shock",32,9,23,2002,5885.6875,0.28125
"36","Portland Fire",32,16,16,2002,8037.25,0.5
"37","Phoenix Mercury",32,11,21,2002,8737.375,0.34375
"38","Sacramento Monarchs",32,14,18,2002,9011.1875,0.4375
