date,opponent,segment,arena,location,attendance,home_team,year
1997-06-21,Houston Comets,Regular season,Quicken Loans Arena,"Cleveland, OH",11455.0,Cleveland Rockers,1997
1997-06-21,New York Liberty,Regular season,Great Western Forum,"Los Angeles, CA",14284.0,Los Angeles Sparks,1997
1997-06-21,Sacramento Monarchs,Regular season,Energysolutions Arena,"Salt Lake City, UT",8915.0,Utah Starzz,1997
1997-06-22,Charlotte Sting,Regular season,Us Airways Center,"Phoenix, AZ",16102.0,Phoenix Mercury,1997
1997-06-23,New York Liberty,Regular season,Arco Arena,"Sacramento, CA",15259.0,Sacramento Monarchs,1997
1997-06-23,Los Angeles Sparks,Regular season,Energysolutions Arena,"Salt Lake City, UT",8036.0,Utah Starzz,1997
1997-06-24,Phoenix Mercury,Regular season,Compaq Center,"Houston, TX",16285.0,Houston Comets,1997
1997-06-25,Charlotte Sting,Regular season,Great Western Forum,"Los Angeles, CA",6397.0,Los Angeles Sparks,1997
1997-06-26,Utah Starzz,Regular season,Quicken Loans Arena,"Cleveland, OH",8845.0,Cleveland Rockers,1997
1997-06-26,New York Liberty,Regular season,Compaq Center,"Houston, TX",8931.0,Houston Comets,1997
1997-06-26,Charlotte Sting,Regular season,Arco Arena,"Sacramento, CA",6248.0,Sacramento Monarchs,1997
1997-06-27,Sacramento Monarchs,Regular season,Great Western Forum,"Los Angeles, CA",6670.0,Los Angeles Sparks,1997
1997-06-28,Phoenix Mercury,Regular season,Quicken Loans Arena,"Cleveland, OH",5930.0,Cleveland Rockers,1997
1997-06-28,Houston Comets,Regular season,Energysolutions Arena,"Salt Lake City, UT",6529.0,Utah Starzz,1997
1997-06-29,Cleveland Rockers,Regular season,Time Warner Cable Arena,"Charlotte, NC",7289.0,Charlotte Sting,1997
1997-06-29,Phoenix Mercury,Regular season,Madison Square Garden,"New York, NY",17780.0,New York Liberty,1997
1997-06-30,Los Angeles Sparks,Regular season,Compaq Center,"Houston, TX",8301.0,Houston Comets,1997
1997-07-02,Houston Comets,Regular season,Madison Square Garden,"New York, NY",8792.0,New York Liberty,1997
1997-07-02,Utah Starzz,Regular season,Arco Arena,"Sacramento, CA",6156.0,Sacramento Monarchs,1997
1997-07-03,Los Angeles Sparks,Regular season,Quicken Loans Arena,"Cleveland, OH",7414.0,Cleveland Rockers,1997
1997-07-03,Phoenix Mercury,Regular season,Energysolutions Arena,"Salt Lake City, UT",6718.0,Utah Starzz,1997
1997-07-04,New York Liberty,Regular season,Compaq Center,"Houston, TX",10239.0,Houston Comets,1997
1997-07-05,Los Angeles Sparks,Regular season,Time Warner Cable Arena,"Charlotte, NC",8975.0,Charlotte Sting,1997
1997-07-05,New York Liberty,Regular season,Energysolutions Arena,"Salt Lake City, UT",7689.0,Utah Starzz,1997
1997-07-06,Cleveland Rockers,Regular season,Arco Arena,"Sacramento, CA",7420.0,Sacramento Monarchs,1997
1997-07-07,Charlotte Sting,Regular season,Compaq Center,"Houston, TX",5933.0,Houston Comets,1997
1997-07-07,Cleveland Rockers,Regular season,Great Western Forum,"Los Angeles, CA",5987.0,Los Angeles Sparks,1997
1997-07-07,New York Liberty,Regular season,Us Airways Center,"Phoenix, AZ",13731.0,Phoenix Mercury,1997
1997-07-07,Sacramento Monarchs,Regular season,Energysolutions Arena,"Salt Lake City, UT",5783.0,Utah Starzz,1997
1997-07-09,New York Liberty,Regular season,Time Warner Cable Arena,"Charlotte, NC",8913.0,Charlotte Sting,1997
1997-07-09,Houston Comets,Regular season,Us Airways Center,"Phoenix, AZ",11892.0,Phoenix Mercury,1997
1997-07-10,Sacramento Monarchs,Regular season,Quicken Loans Arena,"Cleveland, OH",5629.0,Cleveland Rockers,1997
1997-07-10,Charlotte Sting,Regular season,Madison Square Garden,"New York, NY",9951.0,New York Liberty,1997
1997-07-11,Utah Starzz,Regular season,Great Western Forum,"Los Angeles, CA",7187.0,Los Angeles Sparks,1997
1997-07-12,Cleveland Rockers,Regular season,Time Warner Cable Arena,"Charlotte, NC",6166.0,Charlotte Sting,1997
1997-07-12,Sacramento Monarchs,Regular season,Compaq Center,"Houston, TX",7751.0,Houston Comets,1997
1997-07-12,Phoenix Mercury,Regular season,Energysolutions Arena,"Salt Lake City, UT",7076.0,Utah Starzz,1997
1997-07-13,Phoenix Mercury,Regular season,Great Western Forum,"Los Angeles, CA",10494.0,Los Angeles Sparks,1997
1997-07-14,New York Liberty,Regular season,Quicken Loans Arena,"Cleveland, OH",6749.0,Cleveland Rockers,1997
1997-07-14,Utah Starzz,Regular season,Compaq Center,"Houston, TX",6882.0,Houston Comets,1997
1997-07-15,Cleveland Rockers,Regular season,Madison Square Garden,"New York, NY",8554.0,New York Liberty,1997
1997-07-15,Los Angeles Sparks,Regular season,Arco Arena,"Sacramento, CA",8420.0,Sacramento Monarchs,1997
1997-07-16,Utah Starzz,Regular season,Time Warner Cable Arena,"Charlotte, NC",6110.0,Charlotte Sting,1997
1997-07-16,Houston Comets,Regular season,Great Western Forum,"Los Angeles, CA",7240.0,Los Angeles Sparks,1997
1997-07-16,Sacramento Monarchs,Regular season,Us Airways Center,"Phoenix, AZ",12636.0,Phoenix Mercury,1997
1997-07-17,Charlotte Sting,Regular season,Quicken Loans Arena,"Cleveland, OH",4301.0,Cleveland Rockers,1997
1997-07-17,Utah Starzz,Regular season,Madison Square Garden,"New York, NY",9017.0,New York Liberty,1997
1997-07-18,Houston Comets,Regular season,Arco Arena,"Sacramento, CA",6270.0,Sacramento Monarchs,1997
1997-07-19,Utah Starzz,Regular season,Quicken Loans Arena,"Cleveland, OH",6485.0,Cleveland Rockers,1997
1997-07-19,Los Angeles Sparks,Regular season,Madison Square Garden,"New York, NY",16236.0,New York Liberty,1997
1997-07-21,Los Angeles Sparks,Regular season,Time Warner Cable Arena,"Charlotte, NC",6336.0,Charlotte Sting,1997
1997-07-21,Phoenix Mercury,Regular season,Arco Arena,"Sacramento, CA",5913.0,Sacramento Monarchs,1997
1997-07-22,Utah Starzz,Regular season,Madison Square Garden,"New York, NY",9011.0,New York Liberty,1997
1997-07-22,Houston Comets,Regular season,Us Airways Center,"Phoenix, AZ",12581.0,Phoenix Mercury,1997
1997-07-23,New York Liberty,Regular season,Time Warner Cable Arena,"Charlotte, NC",7266.0,Charlotte Sting,1997
1997-07-23,Cleveland Rockers,Regular season,Great Western Forum,"Los Angeles, CA",6815.0,Los Angeles Sparks,1997
1997-07-25,Los Angeles Sparks,Regular season,Us Airways Center,"Phoenix, AZ",15648.0,Phoenix Mercury,1997
1997-07-25,Houston Comets,Regular season,Arco Arena,"Sacramento, CA",6402.0,Sacramento Monarchs,1997
1997-07-26,Charlotte Sting,Regular season,Madison Square Garden,"New York, NY",11502.0,New York Liberty,1997
1997-07-26,Cleveland Rockers,Regular season,Energysolutions Arena,"Salt Lake City, UT",7108.0,Utah Starzz,1997
1997-07-27,Los Angeles Sparks,Regular season,Arco Arena,"Sacramento, CA",8629.0,Sacramento Monarchs,1997
1997-07-28,Cleveland Rockers,Regular season,Us Airways Center,"Phoenix, AZ",11012.0,Phoenix Mercury,1997
1997-07-29,Cleveland Rockers,Regular season,Compaq Center,"Houston, TX",8071.0,Houston Comets,1997
1997-07-30,Phoenix Mercury,Regular season,Time Warner Cable Arena,"Charlotte, NC",9166.0,Charlotte Sting,1997
1997-07-30,Utah Starzz,Regular season,Great Western Forum,"Los Angeles, CA",7231.0,Los Angeles Sparks,1997
1997-07-30,Sacramento Monarchs,Regular season,Madison Square Garden,"New York, NY",11934.0,New York Liberty,1997
1997-07-31,Phoenix Mercury,Regular season,Quicken Loans Arena,"Cleveland, OH",7014.0,Cleveland Rockers,1997
1997-08-01,Sacramento Monarchs,Regular season,Time Warner Cable Arena,"Charlotte, NC",6871.0,Charlotte Sting,1997
1997-08-01,Houston Comets,Regular season,Great Western Forum,"Los Angeles, CA",8009.0,Los Angeles Sparks,1997
