"","team","correlation","loyalty_type"
"1","Atlanta Dream",0.155814349339635,"Very Loyal"
"2","Charlotte Sting",0.438252527135002,"Moderately Loyal"
"3","Chicago Sky",0.0465468329977418,"Very Loyal"
"4","Cleveland Rockers",0.145671500701025,"Very Loyal"
"5","Connecticut Sun",0.0221883391798741,"Very Loyal"
"6","Dallas Wings",0.18917746137205,"Very Loyal"
"7","Detroit Shock",0.434720020647499,"Moderately Loyal"
"8","Houston Comets",0.248898691706764,"Very Loyal"
"9","Indiana Fever",0.331514620190343,"Moderately Loyal"
"10","Las Vegas Aces",0.719804734775444,"Performance-Sensitive"
"11","Los Angeles Sparks",0.269484732203377,"Very Loyal"
"12","Miami Sol",0.280984701746781,"Very Loyal"
"13","Minnesota Lynx",0.568074828118729,"Performance-Sensitive"
"14","New York Liberty",0.427222819160584,"Moderately Loyal"
"15","Orlando Miracle",-0.813991332724502,"Very Loyal"
"16","Phoenix Mercury",0.0957795456668204,"Very Loyal"
"17","Portland Fire",-0.773692177742079,"Very Loyal"
"18","Sacramento Monarchs",0.389188964201085,"Moderately Loyal"
"19","San Antonio Stars",0.00778906898694874,"Very Loyal"
"20","Seattle Storm",0.330944557609602,"Moderately Loyal"
"21","Tulsa Shock",0.455368127667569,"Moderately Loyal"
"22","Utah Starzz",0.0663492646622843,"Very Loyal"
"23","Washington Mystics",-0.0193166946184067,"Very Loyal"
