Team,GP,W,L,MIN,OFFRTG,DEFRTG,NETRTG,AST%,AST/TO,AST Ratio,OREB%,DREB%,REB%,TOV%,EFG%,TS%,PACE,PACE/40,PIE,Season Type,Season
LOS ANGELES SPARKS,28,14,14,1134.0,94.5,91.9,2.6,59.8,0.94,15.7,35.5,64.0,50.4,23.3,47.4,51.1,92.65,77.21,53.6,Regular,1997
UTAH STARZZ,28,7,21,1130.0,84.4,98.3,-13.9,63.7,0.82,14.2,35.9,61.8,48.5,24.2,40.4,45.0,91.05,75.88,37.4,Regular,1997
NEW YORK LIBERTY,28,17,11,1135.0,89.4,86.3,3.1,68.4,0.9,16.0,37.2,62.3,49.7,25.0,44.0,48.2,90.44,75.37,54.1,Regular,1997
PHOENIX MERCURY,28,16,12,1124.0,90.8,85.9,5.0,66.6,0.92,14.7,36.0,64.8,49.5,22.4,41.1,47.2,90.35,75.29,54.7,Regular,1997
SACRAMENTO MONARCHS,28,10,18,1130.0,91.0,100.0,-9.0,55.0,0.71,13.4,40.1,60.7,50.2,26.2,44.2,48.7,90.01,75.01,39.5,Regular,1997
CLEVELAND ROCKERS,28,15,13,1135.0,92.9,90.6,2.3,62.9,0.87,15.7,35.2,65.9,51.3,24.9,46.4,51.5,89.44,74.54,53.3,Regular,1997
CHARLOTTE STING,28,15,13,1120.0,91.8,90.2,1.7,67.5,0.98,16.9,33.9,66.2,50.6,24.2,46.9,50.5,87.94,73.29,53.3,Regular,1997
HOUSTON COMETS,28,18,10,1130.0,97.8,89.2,8.6,54.8,0.78,13.6,38.0,62.2,50.0,24.0,47.2,52.3,87.42,72.85,56.0,Regular,1997
WASHINGTON MYSTICS,29,3,26,1165.0,83.8,103.2,-19.4,54.8,0.62,12.5,34.2,63.1,48.1,27.2,42.8,46.8,92.99,77.49,29.0,Regular,1998
UTAH STARZZ,30,8,22,1210.0,90.7,99.6,-8.9,61.9,0.89,15.3,32.4,65.2,49.1,23.5,45.4,49.7,91.42,76.18,42.9,Regular,1998
LOS ANGELES SPARKS,30,12,18,1205.0,93.6,95.5,-1.9,59.2,0.93,14.8,35.7,64.1,50.0,22.2,44.5,49.2,90.96,75.8,48.0,Regular,1998
DETROIT SHOCK,30,17,13,1200.0,93.3,92.5,0.8,56.0,0.88,14.0,35.8,68.5,52.0,21.9,43.7,48.4,89.68,74.73,49.9,Regular,1998
CHARLOTTE STING,30,18,12,1200.0,96.1,91.6,4.5,64.2,1.12,16.4,33.6,65.8,49.9,20.5,45.8,50.3,89.42,74.52,55.6,Regular,1998
CLEVELAND ROCKERS,30,20,10,1215.0,97.3,93.1,4.1,71.6,1.09,18.4,30.6,63.4,48.4,23.4,49.8,55.0,89.3,74.42,55.5,Regular,1998
PHOENIX MERCURY,30,19,11,1215.0,98.5,90.2,8.3,69.0,1.12,16.9,37.0,65.5,50.6,21.5,45.9,51.1,88.83,74.02,57.9,Regular,1998
NEW YORK LIBERTY,30,18,12,1210.0,93.2,89.5,3.7,67.7,1.02,16.5,36.0,68.1,51.7,22.7,45.1,49.9,87.37,72.81,54.4,Regular,1998
SACRAMENTO MONARCHS,29,7,22,1165.0,87.0,95.4,-8.4,63.2,0.88,15.1,37.0,65.0,50.5,24.2,42.6,46.3,87.06,72.55,41.4,Regular,1998
HOUSTON COMETS,30,27,3,1215.0,104.1,86.7,17.4,53.8,0.98,14.3,34.6,64.0,49.6,19.8,48.4,54.2,86.76,72.3,63.7,Regular,1998
SACRAMENTO MONARCHS,32,19,13,1280.0,99.0,93.3,5.6,58.9,0.98,14.6,39.5,65.0,52.0,21.0,45.5,50.3,90.68,75.56,55.1,Regular,1999
UTAH STARZZ,32,15,17,1300.0,97.2,102.2,-5.1,65.3,0.99,16.2,36.5,67.4,52.1,23.0,46.1,52.0,89.52,74.6,47.6,Regular,1999
LOS ANGELES SPARKS,32,20,12,1292.0,101.5,96.1,5.4,65.2,1.2,17.0,34.8,65.7,50.5,20.0,47.6,52.3,89.45,74.54,54.2,Regular,1999
DETROIT SHOCK,32,15,17,1295.0,92.9,95.6,-2.7,58.5,0.96,14.0,32.9,66.7,48.9,20.1,43.1,48.5,88.91,74.09,44.1,Regular,1999
CLEVELAND ROCKERS,32,7,25,1242.0,88.1,97.3,-9.2,63.9,0.9,15.5,33.9,65.4,49.8,23.9,43.8,48.1,86.01,71.67,42.7,Regular,1999
ORLANDO MIRACLE,32,15,17,1290.0,96.1,96.9,-0.8,58.9,0.9,14.7,36.1,62.1,49.0,22.7,46.6,51.0,85.23,71.02,48.4,Regular,1999
PHOENIX MERCURY,32,15,17,1275.0,96.2,96.0,0.2,67.1,1.11,16.0,36.1,64.2,49.9,20.4,43.4,49.1,85.01,70.84,49.9,Regular,1999
WASHINGTON MYSTICS,32,12,20,1295.0,92.0,97.9,-5.9,60.7,0.8,14.7,36.2,63.4,50.5,25.1,45.1,50.2,84.84,70.7,44.7,Regular,1999
HOUSTON COMETS,32,26,6,1285.0,104.4,91.4,13.1,59.3,1.1,15.8,35.1,63.1,49.9,19.9,48.6,54.1,84.66,70.55,61.9,Regular,1999
NEW YORK LIBERTY,32,18,14,1270.0,96.4,92.4,4.0,64.8,1.1,16.5,33.2,64.4,48.4,20.9,46.8,50.9,83.35,69.46,52.0,Regular,1999
CHARLOTTE STING,32,15,17,1285.0,95.8,97.2,-1.4,71.6,1.21,18.3,33.0,65.9,50.2,21.4,46.9,51.6,82.18,68.48,53.1,Regular,1999
MINNESOTA LYNX,32,15,17,1295.0,93.3,97.1,-3.7,70.2,1.2,16.9,34.5,64.6,48.6,20.0,44.0,47.7,80.71,67.26,44.1,Regular,1999
DETROIT SHOCK,32,14,18,1285.0,96.6,101.1,-4.5,57.9,0.95,15.0,37.6,62.3,49.7,22.0,45.7,50.9,89.95,74.96,46.3,Regular,2000
UTAH STARZZ,32,18,14,1280.0,100.6,101.3,-0.7,60.8,0.96,15.6,38.4,68.1,53.6,22.7,47.6,53.8,89.51,74.59,51.3,Regular,2000
LOS ANGELES SPARKS,32,28,4,1290.0,101.1,91.2,9.9,68.1,1.26,17.5,32.9,68.1,51.4,19.5,47.9,53.5,88.71,73.92,60.6,Regular,2000
PORTLAND FIRE,32,10,22,1305.0,91.2,98.0,-6.8,63.1,0.81,14.8,35.9,64.0,49.8,25.1,45.6,50.5,86.64,72.2,43.6,Regular,2000
SACRAMENTO MONARCHS,32,21,11,1280.0,102.4,95.4,7.0,64.7,1.24,17.0,40.1,62.6,51.2,20.1,47.5,51.4,85.69,71.41,56.7,Regular,2000
MINNESOTA LYNX,32,15,17,1285.0,96.4,95.9,0.5,64.3,1.0,15.9,31.0,65.0,47.7,21.8,47.6,52.4,85.11,70.93,48.6,Regular,2000
